birds, neural network result (jump), currentFitness
1,-11.12945,9.41502
1,14.0327,9.423345
1,2.033368,9.431669
1,-12.31908,9.439994
1,-4.495876,9.448318
1,-3.431246,9.456643
1,-0.747204,9.464968
1,-21.31002,9.473292
1,-1.622624,9.481617
1,-9.941799,9.489942
1,17.27981,9.498266
1,20.03775,9.506591
1,-3.589487,9.514915
1,-0.854631,9.52324
1,-5.222584,9.531565
1,6.828646,9.539889
1,11.52849,9.548214
1,-7.407957,9.556539
1,-3.484885,9.564863
1,3.389285,9.573188
1,19.94211,9.581512
1,-3.503726,9.589837
1,-6.406843,9.598162
1,-7.057227,9.606486
1,-11.94148,9.614822
1,8.882391,9.62316
1,-3.823443,9.631485
0,5.47856,9.639823
0,3.917645,9.639823
0,-10.44991,9.639823
0,9.574629,9.639823
0,1.6597,9.639823
0,-1.675972,9.639823
0,-16.21369,9.639823
0,-19.26638,9.639823
0,0.380499,9.639823
0,8.66463,9.639823
0,-10.39708,9.639823
0,-0.098675,9.639823
0,10.97547,9.639823
0,-4.820409,9.639823
0,9.332562,9.639823
0,-12.11948,9.639823
0,18.72106,9.639823
0,-13.56326,9.639823
0,2.514631,9.639823
0,21.28292,9.639823
0,3.153056,9.639823
0,7.10889,9.639823
0,-4.100797,9.639823
0,-0.336199,9.639823
0,-1.85321,9.639823
0,8.035358,9.639823
0,-5.055831,9.639823
0,-18.8946,9.639823
0,-3.009546,9.639823
0,-9.225155,9.639823
0,-14.88424,9.639823
0,12.85461,9.639823
0,-19.4339,9.639823
0,-5.160937,9.639823
0,-3.23921,9.639823
0,-10.72628,9.639823
0,-10.45638,9.639823
0,1.125362,9.639823
0,13.91822,9.639823
